year,section,row_no,account,account_key,entity,scope,value_yuan,value_wan
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,现代房产,公司,0.0,0.0
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,安迅小贷,公司,0.0,0.0
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,现代担保,公司,0.0,0.0
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,巴陵农商行,公司,0.0,0.0
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,长韶娄公司,公司,878167.29,87.81672900000001
2020,资产负债表,10,减：应收账款--坏账准备,减：应收账款--坏账准备,集团审定口径,集团,51015005.83,5101.500583
2020,资产负债表,11,应收账款净额,应收账款净额,母公司,公司,8246399.98,824.639998
2020,资产负债表,11,应收账款净额,应收账款净额,本部,公司,4553250.84,455.325084
2020,资产负债表,11,应收账款净额,应收账款净额,潭耒分公司,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,长沙分公司,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,怀化分公司,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,凯莱酒店,公司,3737864.1,373.78641
2020,资产负债表,11,应收账款净额,应收账款净额,潭耒项目部,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,综合楼项目部,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,现代环投,公司,231785840.93,23178.584093
2020,资产负债表,11,应收账款净额,应收账款净额,大有期货,公司,722209.8,72.22098000000001
2020,资产负债表,11,应收账款净额,应收账款净额,现代财富,公司,14454727.27,1445.4727269999998
2020,资产负债表,11,应收账款净额,应收账款净额,现代资产,公司,10782362.37,1078.2362369999998
2020,资产负债表,11,应收账款净额,应收账款净额,怀芷公司,公司,861307.0,86.1307
2020,资产负债表,11,应收账款净额,应收账款净额,溆怀公司,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,现代房产,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,安迅小贷,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,现代担保,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,巴陵农商行,公司,0.0,0.0
2020,资产负债表,11,应收账款净额,应收账款净额,长韶娄公司,公司,20545070.93,2054.507093
2020,资产负债表,11,应收账款净额,应收账款净额,集团审定口径,集团,280347064.02,28034.706402
2020,资产负债表,12,应收款项融资,应收款项融资,母公司,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,现代环投,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,大有期货,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,现代财富,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,现代资产,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,怀芷公司,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,溆怀公司,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,现代房产,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,安迅小贷,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,现代担保,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,巴陵农商行,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,长韶娄公司,公司,0.0,0.0
2020,资产负债表,12,应收款项融资,应收款项融资,集团审定口径,集团,0.0,0.0
2020,资产负债表,13,预付款项,预付款项,母公司,公司,1982749.23,198.274923
2020,资产负债表,13,预付款项,预付款项,本部,公司,475840.0,47.584
2020,资产负债表,13,预付款项,预付款项,长沙分公司,公司,556000.0,55.6
2020,资产负债表,13,预付款项,预付款项,凯莱酒店,公司,950909.23,95.090923
2020,资产负债表,13,预付款项,预付款项,综合楼项目部,公司,13303017.39,1330.301739
2020,资产负债表,13,预付款项,预付款项,现代环投,公司,5294551.11,529.455111
2020,资产负债表,13,预付款项,预付款项,大有期货,公司,63337826.79,6333.782679
2020,资产负债表,13,预付款项,预付款项,现代财富,公司,58362773.5,5836.27735
2020,资产负债表,13,预付款项,预付款项,现代资产,公司,2724764.51,272.476451
2020,资产负债表,13,预付款项,预付款项,怀芷公司,公司,392199.93,39.219993
2020,资产负债表,13,预付款项,预付款项,溆怀公司,公司,0.0,0.0
2020,资产负债表,13,预付款项,预付款项,现代房产,公司,0.0,0.0
2020,资产负债表,13,预付款项,预付款项,安迅小贷,公司,0.0,0.0
2020,资产负债表,13,预付款项,预付款项,现代担保,公司,0.0,0.0
2020,资产负债表,13,预付款项,预付款项,巴陵农商行,公司,3987951.6,398.79516
2020,资产负债表,13,预付款项,预付款项,长韶娄公司,公司,1278603.91,127.86039099999999
2020,资产负债表,13,预付款项,预付款项,集团审定口径,集团,137272712.51,13727.271250999998
2020,资产负债表,14,△应收保费,△应收保费,母公司,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,现代环投,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,大有期货,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,现代财富,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,现代资产,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,怀芷公司,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,溆怀公司,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,现代房产,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,安迅小贷,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,现代担保,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,巴陵农商行,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,长韶娄公司,公司,0.0,0.0
2020,资产负债表,14,△应收保费,△应收保费,集团审定口径,集团,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,母公司,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,现代环投,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,大有期货,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,现代财富,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,现代资产,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,怀芷公司,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,溆怀公司,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,现代房产,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,安迅小贷,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,现代担保,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,巴陵农商行,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,长韶娄公司,公司,0.0,0.0
2020,资产负债表,15,△应收分保账款,△应收分保账款,集团审定口径,集团,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,母公司,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,现代环投,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,大有期货,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,现代财富,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,现代资产,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,怀芷公司,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,溆怀公司,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,现代房产,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,安迅小贷,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,现代担保,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,巴陵农商行,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,长韶娄公司,公司,0.0,0.0
2020,资产负债表,16,△应收分保合同准备金,△应收分保合同准备金,集团审定口径,集团,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,母公司,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,现代环投,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,大有期货,公司,564223.47,56.422346999999995
2020,资产负债表,17,应收股利,应收股利,现代财富,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,现代资产,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,怀芷公司,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,溆怀公司,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,现代房产,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,安迅小贷,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,现代担保,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,巴陵农商行,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,长韶娄公司,公司,0.0,0.0
2020,资产负债表,17,应收股利,应收股利,集团审定口径,集团,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,母公司,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,现代环投,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,大有期货,公司,1031424.67,103.14246700000001
2020,资产负债表,18,应收利息,应收利息,现代财富,公司,9658939.8,965.89398
2020,资产负债表,18,应收利息,应收利息,现代资产,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,怀芷公司,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,溆怀公司,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,现代房产,公司,429284.95,42.928495
2020,资产负债表,18,应收利息,应收利息,安迅小贷,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,现代担保,公司,5602808.4,560.28084
2020,资产负债表,18,应收利息,应收利息,巴陵农商行,公司,65641458.11,6564.145811
2020,资产负债表,18,应收利息,应收利息,长韶娄公司,公司,0.0,0.0
2020,资产负债表,18,应收利息,应收利息,集团审定口径,集团,82363915.93,8236.391593
2020,资产负债表,19,其他应收款,其他应收款,母公司,公司,6022163252.97,602216.325297
2020,资产负债表,19,其他应收款,其他应收款,本部,公司,6080089612.23,608008.961223
2020,资产负债表,19,其他应收款,其他应收款,潭耒分公司,公司,19827121.46,1982.712146
2020,资产负债表,19,其他应收款,其他应收款,长沙分公司,公司,33208195.5,3320.81955
2020,资产负债表,19,其他应收款,其他应收款,怀化分公司,公司,5420657.11,542.0657110000001
